Year,Month,Day,Hour,Minute,Temperature,Humidity,Solar
2019,3,21,0,0,25.38,87,0
2019,3,21,1,0,25.1,90,0
2019,3,21,2,0,25.9,86,0
2019,3,21,3,0,26.18,85,0
2019,3,21,4,0,26.38,84,0
2019,3,21,5,0,26.43,84,0
2019,3,21,6,0,26.43,83,0
2019,3,21,7,0,27.32,78,65.86
2019,3,21,8,0,28.73,69,248.31
2019,3,21,9,0,30.15,61,383.59
2019,3,21,10,0,30.66,58,419.19
2019,3,21,11,0,31.48,55,514.42
2019,3,21,12,0,33.96,46,754.72
2019,3,21,13,0,34.34,44,551.8
2019,3,21,14,0,34.55,43,532.22
2019,3,21,15,0,34.64,42,697.76
2019,3,21,16,0,33.25,46,446.78
2019,3,21,17,0,32.58,49,198.47
2019,3,21,18,0,30.66,56,68.53
2019,3,21,19,0,28.2,71,0
2019,3,21,20,0,27.01,77,0
2019,3,21,21,0,26.37,80,0
2019,3,21,22,0,25.98,82,0
2019,3,21,23,0,25.72,85,0
2019,3,22,0,0,25.33,88,0
2019,3,22,1,0,24.83,92,0
2019,3,22,2,0,24.26,95,0
2019,3,22,3,0,24.1,96,0
2019,3,22,4,0,23.96,96,0
2019,3,22,5,0,23.95,96,0
2019,3,22,6,0,23.8,96,0
2019,3,22,7,0,26.69,83,109.47
2019,3,22,8,0,29.17,67,329.3
2019,3,22,9,0,31.31,55,532.22
2019,3,22,10,0,33.25,46,712.89
2019,3,22,11,0,34.78,41,844.61
2019,3,22,12,0,36.06,38,909.58
2019,3,22,13,0,36.8,36,892.67
2019,3,22,14,0,37.24,34,804.56
2019,3,22,15,0,37.16,34,692.42
2019,3,22,16,0,36.63,34,534
2019,3,22,17,0,35.4,37,341.76
2019,3,22,18,0,32.65,45,113.03
2019,3,22,19,0,31.24,55,0
2019,3,22,20,0,29.91,63,0
2019,3,22,21,0,28.92,70,0
2019,3,22,22,0,28.1,76,0
2019,3,22,23,0,27.53,80,0
2019,3,23,0,0,27.09,83,0
2019,3,23,1,0,26.74,85,0
2019,3,23,2,0,26.69,85,0
2019,3,23,3,0,27.08,83,0
2019,3,23,4,0,27.08,82,0
2019,3,23,5,0,26.96,81,0
2019,3,23,6,0,26.78,81,0
2019,3,23,7,0,27.82,76,82.77
2019,3,23,8,0,28.91,69,271.45
2019,3,23,9,0,30.11,62,307.05
2019,3,23,10,0,31,59,335.53
2019,3,23,11,0,32.37,53,491.28
2019,3,23,12,0,34.48,45,809.01
2019,3,23,13,0,35.06,42,838.38
2019,3,23,14,0,34.07,44,447.67
2019,3,23,15,0,33.63,45,325.74
2019,3,23,16,0,32.75,48,226.95
2019,3,23,17,0,31.78,53,135.28
2019,3,23,18,0,30.05,61,51.62
2019,3,23,19,0,28.78,68,0
